
2 0.000121117
2 1.3113e-05
2 1.19209e-05
2 0.000316143
2 2.69413e-05
2 7.15256e-06
2 5.96046e-06
2 6.91414e-06
2 7.15256e-06
2 6.91414e-06
4 0.000117064
4 1.5974e-05
4 1.50204e-05
4 0.000372887
4 2.7895e-05
4 9.05991e-06
4 1.50204e-05
4 1.4782e-05
4 8.10623e-06
4 1.3113e-05
8 0.000133991
8 2.81334e-05
8 2.28882e-05
8 0.000453949
8 3.69549e-05
8 1.81198e-05
8 1.5974e-05
8 1.62125e-05
8 2.40803e-05
8 2.40803e-05
16 0.000174046
16 0.000108957
16 3.40939e-05
16 0.000750065
16 0.00127912
16 6.29425e-05
16 9.70364e-05
16 6.41346e-05
16 9.01222e-05
16 6.00815e-05
